Customer_ID,Customer_Name,Segment
VD-21670,Valerie Dominguez,0
EA-14035,Erin Ashbrook,1
DB-13120,David Bremer,1
KL-16645,Ken Lonsdale,0
DW-13480,Dianna Wilson,2
LH-17155,Logan Haushalter,0
KC-16540,Kelly Collister,0
DL-13315,Delfina Latchford,0
DR-12880,Dan Reichenbach,1
CC-12670,Craig Carreira,0
Dl-13600,Dorris liebe,1
SB-20290,Sean Braxton,1
RC-19825,Roy Collins,0
AH-10210,Alan Hwang,0
CB-12535,Claudia Bergmann,1
CA-12310,Christine Abelman,1
KH-16690,Kristen Hastings,1
BB-10990,Barry Blumstein,1
AG-10495,Andrew Gjertsen,1
JO-15280,Jas O'Carroll,0
AH-10195,Alan Haines,1
NZ-18565,Nick Zandusky,2
KL-16555,Kelly Lampkin,1
AS-10225,Alan Schoenberger,1
CR-12625,Corey Roper,2
SH-20395,Shahid Hopkins,0
BP-11185,Ben Peterman,1
TS-21205,Thomas Seio,1
AG-10525,Andy Gerbode,1
SP-20860,Sung Pak,1
NM-18445,Nathan Mautz,2
FA-14230,Frank Atkinson,1
GK-14620,Grace Kelly,1
DJ-13510,Don Jones,1
PO-18850,Patrick O'Brill,0
JL-15850,John Lucas,0
DB-13615,Doug Bickford,0
AC-10420,Alyssa Crouse,1
CC-12550,Clay Cheatham,0
TD-20995,Tamara Dahlen,0
AB-10060,Adam Bellavance,2
JL-15505,Jeremy Lonsdale,0
VB-21745,Victoria Brennan,1
KW-16435,Katrina Willman,0
JD-16060,Julia Dunbar,0
MK-17905,Michael Kennedy,1
GT-14755,Guy Thornton,0
AG-10900,Arthur Gainer,0
MM-18280,Muhammed MacIntyre,1
AR-10405,Allen Rosenblatt,1
RA-19915,Russell Applegate,0
AS-10285,Alejandro Savely,1
LA-16780,Laura Armstrong,1
DO-13435,Denny Ordway,0
DK-13225,Dean Katz,1
NG-18430,Nathan Gelder,0
MV-18190,Mike Vittorini,0
JG-15115,Jack Garza,0
BP-11095,Bart Pistole,1
VP-21730,Victor Preis,2
SS-20140,Saphhira Shifley,1
AG-10675,Anna Gayman,0
LF-17185,Luke Foster,0
RF-19840,Roy Französisch,0
KH-16510,Keith Herrera,0
KC-16675,Kimberly Carter,1
CJ-12010,Caroline Jumper,0
PB-19150,Philip Brown,0
MP-17965,Michael Paige,1
NF-18385,Natalie Fritzler,0
SD-20485,Shirley Daniels,2
KH-16630,Ken Heidel,1
RB-19795,Ross Baird,2
MK-18160,Mike Kennedy,0
PO-19180,Philisse Overcash,2
BB-11545,Brenda Bowman,1
TB-21595,Troy Blackwell,0
RB-19360,Raymond Buch,0
EB-13705,Ed Braxton,1
SC-20095,Sanjit Chand,0
TN-21040,Tanja Norvell,2
JS-15940,Joni Sundaresam,2
MH-17785,Maya Herman,1
JP-15520,Jeremy Pistek,0
JE-15475,Jeremy Ellison,0
JG-15805,John Grady,1
XP-21865,Xylona Preis,0
EM-14065,Erin Mull,0
MT-18070,Michelle Tran,2
SA-20830,Sue Ann Reed,0
CW-11905,Carl Weiss,2
AJ-10960,Astrea Jones,0
SS-20590,Sonia Sunley,0
RO-19780,Rose O'Brian,0
MD-17350,Maribeth Dona,0
MY-17380,Maribeth Yedwab,1
CM-12385,Christopher Martinez,0
LS-17245,Lynn Smith,0
BN-11515,Bradley Nguyen,0
DB-13210,Dean Braden,0
MC-17605,Matt Connell,1
BD-11605,Brian Dahlen,0
PH-18790,Patricia Hirasaki,2
MG-18145,Mike Gockenbach,0
KB-16240,Karen Bern,1
JC-15340,Jasper Cacioppo,0
RL-19615,Rob Lucas,0
AA-10375,Allen Armold,0
EP-13915,Emily Phan,0
DK-12985,Darren Koutras,0
BD-11500,Bradley Drucker,0
LM-17065,Liz MacKendrick,0
AS-10135,Adrian Shami,2
BD-11320,Bill Donatelli,0
GT-14710,Greg Tran,0
AJ-10945,Ashley Jarboe,0
OT-18730,Olvera Toch,0
LP-17080,Liz Pelletier,0
CA-12775,Cynthia Arntzen,0
JF-15490,Jeremy Farry,0
FP-14320,Frank Preis,0
EB-13840,Ellis Ballard,1
JF-15415,Jennifer Ferguson,0
SF-20200,Sarah Foster,0
TG-21640,Trudy Glocke,0
CS-11950,Carlos Soltero,0
CC-12145,Charles Crestani,0
DV-13465,Dianna Vittorini,0
BD-11725,Bruce Degenhardt,0
ZC-21910,Zuschuss Carroll,0
MS-17830,Melanie Seite,0
LR-16915,Lena Radford,0
TP-21130,Theone Pippenger,0
CK-12205,Chloris Kastensmidt,0
AS-10240,Alan Shonely,0
AR-10510,Andrew Roberts,0
NB-18655,Nona Balk,1
GD-14590,Giulietta Dortch,1
CK-12595,Clytie Kelty,0
NG-18355,Nat Gilpin,1
CA-12265,Christina Anderson,0
SF-20965,Sylvia Foulston,1
MO-17800,Meg O'Connel,2
AT-10735,Annie Thurman,0
FM-14380,Fred McMath,0
DJ-13420,Denny Joy,1
ME-17725,Max Engle,0
JD-16150,Justin Deggeller,1
JL-15835,John Lee,0
SC-20305,Sean Christensen,0
CC-12430,Chuck Clark,2
AR-10825,Anthony Rawles,1
SR-20740,Steven Roelle,2
CR-12730,Craig Reiter,0
EH-14125,Eugene Hildebrand,2
SP-20545,Sibella Parks,1
TH-21235,Tiffany House,1
RP-19390,Resi Pölking,0
RB-19570,Rob Beeghly,0
CD-11980,Carol Darley,0
DJ-13630,Doug Jacobs,0
GT-14635,Grant Thornton,1
MC-17845,Michael Chen,0
RA-19285,Ralph Arnett,0
NP-18325,Naresj Patel,0
AB-10165,Alan Barnes,0
JO-15550,Jesus Ocampo,2
JK-15370,Jay Kimmel,0
BN-11470,Brad Norvell,1
DP-13165,David Philippe,0
TH-21550,Tracy Hopkins,2
AP-10915,Arthur Prichep,0
RS-19765,Roland Schwarz,1
SV-20365,Seth Vernon,0
CK-12325,Christine Kargatis,2
RD-19810,Ross DeVincentis,2
MR-17545,Mathew Reese,2
SC-20695,Steve Chapman,1
JF-15355,Jay Fein,0
EG-13900,Emily Grady,0
DS-13030,Darrin Sayre,2
PO-19195,Phillina Ober,2
SS-20875,Sung Shariari,0
PB-19105,Peter Bühler,0
RF-19735,Roland Fjeld,0
YC-21895,Yoseph Carroll,1
DC-13285,Debra Catini,0
CP-12340,Christine Phan,1
BF-11020,Barry Französisch,1
LH-17020,Lisa Hazard,0
CS-12250,Chris Selesnick,1
AJ-10795,Anthony Johnson,1
BV-11245,Benjamin Venier,1
DL-12865,Dan Lawera,0
BM-11785,Bryan Mills,0
LT-17110,Liz Thompson,0
JK-15730,Joe Kamberova,0
ES-14020,Erica Smith,0
RH-19495,Rick Hansen,0
CD-11920,Carlos Daly,0
HW-14935,Helen Wasserman,1
MC-18130,Mike Caudle,1
GM-14440,Gary McGarr,0
PJ-19015,Pauline Johnson,0
BW-11110,Bart Watters,1
TR-21325,Toby Ritter,0
PG-18820,Patrick Gardner,0
JL-15175,James Lanier,2
BM-11650,Brian Moss,1
EM-14095,Eudokia Martin,1
AF-10885,Art Foster,0
GA-14725,Guy Armstrong,0
CK-12760,Cyma Kinney,1
DP-13105,Dave Poirier,1
BK-11260,Berenike Kampe,0
SJ-20125,Sanjit Jacobs,2
CM-12445,Chuck Magee,0
AJ-10780,Anthony Jacobs,1
LS-16945,Linda Southworth,1
GP-14740,Guy Phonely,1
PK-18910,Paul Knutson,2
SM-20005,Sally Matthias,0
AG-10765,Anthony Garverick,2
PM-19135,Peter McVee,2
LL-16840,Lauren Leatherbury,0
JS-15595,Jill Stevenson,1
EL-13735,Ed Ludwig,2
PC-18745,Pamela Coakley,1
HL-15040,Hunter Lopez,0
MS-17365,Maribeth Schnelling,0
GB-14530,George Bell,1
JR-16210,Justin Ritter,1
BE-11335,Bill Eplett,2
SC-20050,Sample Company A,2
RW-19630,Rob Williams,1
SE-20110,Sanjit Engle,0
AH-10075,Adam Hart,1
JM-15535,Jessica Myrick,0
JJ-15760,Joel Jenkins,2
RK-19300,Ralph Kennedy,0
CG-12040,Catherine Glotzbach,2
RP-19270,Rachel Payne,1
KC-16255,Karen Carlisle,1
KH-16360,Katherine Hughes,0
GH-14665,Greg Hansen,0
SW-20275,Scott Williamson,0
JA-15970,Joseph Airdo,0
DL-12925,Daniel Lacy,0
LW-16990,Lindsay Williams,1
TB-21190,Thomas Brumley,2
BS-11800,Bryan Spruell,2
RW-19690,Robert Waldorf,0
TZ-21580,Tracy Zic,0
AS-10630,Ann Steele,2
TS-21340,Toby Swindell,0
SL-20155,Sara Luxemburg,2
MW-18235,Mitch Willingham,1
RD-19585,Rob Dowd,0
RA-19945,Ryan Akin,0
MT-17815,Meg Tillman,0
VG-21790,Vivek Gonzalez,0
JS-15880,John Stevenson,0
KM-16225,Kalyca Meade,1
HR-14770,Hallie Redmond,2
DE-13255,Deanra Eno,2
AG-10390,Allen Goldenen,0
JJ-15445,Jennifer Jackson,0
JH-15430,Jennifer Halladay,0
RD-19660,Robert Dilbeck,2
MO-17500,Mary O'Rourke,0
NS-18640,Noel Staavos,1
DG-13300,Deirdre Greer,1
NF-18595,Nicole Fjeld,2
MG-17650,Matthew Grinstein,2
TS-21160,Theresa Swint,1
BD-11620,Brian DeCherney,0
CM-12160,Charles McCrossin,0
SN-20560,Skye Norling,2
EH-14005,Erica Hernandez,2
FO-14305,Frank Olsen,0
MS-17710,Maurice Satty,0
CC-12100,Chad Cunningham,2
DW-13540,Don Weiss,0
BT-11395,Bill Tyler,1
CY-12745,Craig Yedwab,1
BT-11485,Brad Thomas,2
PS-19045,Penelope Sewall,2
PV-18985,Paul Van Hugh,2
NM-18520,Neoma Murray,0
DL-13495,Dionis Lloyd,1
CS-12355,Christine Sundaresam,0
FH-14275,Frank Hawley,1
NC-18340,Nat Carroll,0
AA-10315,Alex Avila,0
LT-16765,Larry Tron,0
AP-10720,Anne Pryor,2
PM-18940,Paul MacIntyre,0
AT-10435,Alyssa Tate,2
CA-12055,Cathy Armstrong,2
HR-14830,Harold Ryan,1
BT-11530,Bradley Talbott,2
LH-16750,Larry Hughes,0
SW-20755,Steven Ward,1
SP-20620,Stefania Perrino,1
BF-11170,Ben Ferrer,2
KT-16480,Kean Thornton,0
BG-11695,Brooke Gillingham,1
GM-14680,Greg Matthias,0
EJ-14155,Eva Jacobs,0
NP-18700,Nora Preis,0
MH-18115,Mick Hernandez,2
JR-15700,Jocasta Rupert,0
SM-20950,Suzanne McNair,1
CC-12220,Chris Cortes,0
PF-19225,Phillip Flathmann,0
DC-12850,Dan Campbell,0
BD-11770,Bryan Davis,0
GM-14500,Gene McClure,0
TB-21355,Todd Boyes,1
JH-16180,Justin Hirsh,0
EB-13975,Erica Bern,1
QJ-19255,Quincy Jones,1
TC-21535,Tracy Collins,2
CS-12460,Chuck Sachs,0
HG-14965,Henry Goldwyn,1
LW-16825,Laurel Workman,1
MC-17575,Matt Collins,0
LP-17095,Liz Preis,0
EB-14170,Evan Bailliet,0
GZ-14545,George Zrebassa,1
CP-12085,Cathy Prescott,1
FG-14260,Frank Gastineau,2
LD-17005,Lisa DeCherney,0
AB-10255,Alejandro Ballentine,2
MN-17935,Michael Nguyen,0
JR-15670,Jim Radford,0
JF-15190,Jamie Frazer,0
CM-12115,Chad McGuire,0
AS-10045,Aaron Smayling,1
BP-11290,Beth Paige,0
ND-18370,Natalie DeCherney,0
LB-16735,Larry Blacks,0
KT-16465,Kean Takahito,0
HM-14860,Harry Marie,1
AB-10600,Ann Blume,1
SZ-20035,Sam Zeldin,2
MG-17890,Michael Granlund,2
JK-16120,Julie Kriz,2
PP-18955,Paul Prost,2
YS-21880,Yana Sorensen,1
KM-16375,Katherine Murray,2
AB-10105,Adrian Barton,0
HA-14905,Helen Abelman,0
BT-11305,Beth Thompson,2
SV-20815,Stuart Van,1
RW-19540,Rick Wilson,1
DK-12835,Damala Kotsonis,1
ST-20530,Shui Tom,0
MM-17920,Michael Moore,0
PW-19030,Pauline Webber,1
SC-20440,Shaun Chance,1
TS-21085,Thais Sissman,0
MC-17425,Mark Cousins,1
ME-17320,Maria Etezadi,2
NH-18610,Nicole Hansen,1
MB-18085,Mick Brown,0
KD-16495,Keith Dawkins,1
KN-16390,Katherine Nockton,1
NP-18685,Nora Pelletier,2
CS-12505,Cindy Stewart,0
MS-17770,Maxwell Schwartz,0
CM-12655,Corinna Mitchell,2
Co-12640,Corey-Lock,0
TS-21370,Todd Sumrall,1
JW-15220,Jane Waco,1
JD-15790,John Dryer,0
PC-19000,Pauline Chand,2
AR-10540,Andy Reiter,0
AI-10855,Arianne Irving,0
TB-21400,Tom Boeckenhauer,0
PL-18925,Paul Lucas,2
GH-14425,Gary Hwang,0
MP-18175,Mike Pelletier,2
JM-15655,Jim Mitchum,1
CL-11890,Carl Ludwig,0
DB-13270,Deborah Brumfield,2
IG-15085,Ivan Gibson,0
BO-11425,Bobby Odegard,0
AB-10150,Aimee Bixby,0
JW-16075,Julia West,0
EB-13750,Edward Becker,1
SG-20470,Sheri Gordon,0
CM-12190,Charlotte Melton,0
AW-10840,Anthony Witt,0
MC-18100,Mick Crebagga,0
TT-21460,Tonja Turnell,2
VG-21805,Vivek Grady,1
MY-18295,Muhammed Yedwab,1
RD-19480,Rick Duston,0
DP-13390,Dennis Pardue,2
ML-17395,Marina Lichtenstein,1
JC-15385,Jenna Caffey,0
JG-15160,James Galang,0
MC-17275,Marc Crier,0
NW-18400,Natalie Webber,0
TB-21280,Toby Braunhardt,0
BS-11380,Bill Stewart,1
HH-15010,Hilary Holden,1
CD-12280,Christina DeMoss,0
TH-21100,Thea Hendricks,0
MM-18055,Michelle Moray,0
NS-18505,Neola Schneider,0
RB-19645,Robert Barroso,1
SW-20455,Shaun Weien,0
EB-13930,Eric Barreto,0
PS-18760,Pamela Stobb,0
HF-14995,Herbert Flentye,0
HZ-14950,Henia Zydlo,0
CD-12790,Cynthia Delaney,2
JK-15205,Jamie Kunitz,0
FM-14215,Filia McAdams,1
ED-13885,Emily Ducich,2
DA-13450,Dianna Arnett,2
JW-15955,Joni Wasserman,0
RM-19375,Raymond Messe,0
ML-17755,Max Ludwig,2
CC-12685,Craig Carroll,0
JE-15610,Jim Epp,1
RP-19855,Roy Phan,1
TB-21175,Thomas Boland,1
BE-11455,Brad Eason,2
JF-15565,Jill Fjeld,0
PB-19210,Phillip Breyer,1
BT-11680,Brian Thompson,0
JL-15235,Janet Lee,0
CH-12070,Cathy Hwang,2
ND-18460,Neil Ducich,1
BF-10975,Barbara Fisher,1
KH-16330,Katharine Harms,1
GW-14605,Giulietta Weimer,0
NC-18625,Noah Childs,1
ME-18010,Michelle Ellison,1
BP-11230,Benjamin Patterson,0
JC-15775,John Castell,0
AS-10090,Adam Shillingsburg,0
AC-10450,Amy Cox,0
MD-17860,Michael Dominguez,1
DB-13660,Duane Benoit,0
EH-13990,Erica Hackney,0
EH-13765,Edward Hooks,1
SC-20230,Scot Coram,1
JE-15715,Joe Elijah,0
AC-10615,Ann Chong,1
JD-16015,Joy Daniels,0
CB-12415,Christy Brittain,0
JS-16030,Joy Smith,0
LW-17215,Luke Weiss,0
SC-20800,Stuart Calhoun,0
AM-10705,Anne McFarland,0
RH-19510,Rick Huthwaite,2
CT-11995,Carol Triggs,0
MC-17590,Matt Collister,1
CC-12610,Corey Catlett,1
KA-16525,Kelly Andreada,0
TC-20980,Tamara Chand,1
BF-11080,Bart Folk,0
MM-17260,Magdelene Morse,0
AH-10120,Adrian Hane,2
BW-11200,Ben Wallace,0
SW-20245,Scot Wooten,0
BS-11665,Brian Stugart,0
RF-19345,Randy Ferguson,1
WB-21850,William Brown,0
TB-21625,Trudy Brown,0
AF-10870,Art Ferguson,0
RB-19435,Richard Bierner,0
KF-16285,Karen Ferguson,2
JH-15820,John Huston,0
IL-15100,Ivan Liston,0
PB-18805,Patrick Bzostek,2
RH-19600,Rob Haberlin,0
AW-10930,Arthur Wiediger,2
ML-17410,Maris LaWare,0
DB-13555,Dorothy Badders,1
MH-17620,Matt Hagelstein,1
DK-13375,Dennis Kane,0
BT-11440,Bobby Trafton,0
DB-13405,Denny Blanton,0
TG-21310,Toby Gnade,0
BF-11005,Barry Franz,2
JM-16195,Justin MacKendrick,0
MZ-17335,Maria Zettner,2
MW-18220,Mitch Webber,0
MV-17485,Mark Van Huff,0
SM-20320,Sean Miller,2
TP-21415,Tom Prescott,0
JK-15625,Jim Karlsson,0
PJ-18835,Patrick Jones,1
RS-19420,Ricardo Sperren,1
SV-20935,Susan Vittorini,0
BC-11125,Becky Castell,2
EM-13825,Elizabeth Moffitt,1
BM-11575,Brendan Murry,1
KN-16705,Kristina Nunn,2
KW-16570,Kelly Williams,0
SC-20260,Scott Cohen,1
CV-12295,Christina VanderZanden,0
SG-20605,Speros Goranitis,0
TM-21010,Tamara Manning,0
EM-13810,Eleni McCrary,1
ML-18040,Michelle Lonsdale,1
CR-12580,Clay Rozendal,2
AZ-10750,Annie Zypern,0
PW-19240,Pierre Wener,0
SC-20380,Shahid Collister,0
CM-11935,Carlos Meador,0
GM-14695,Greg Maxwell,1
TB-21250,Tim Brockman,0
JM-15865,John Murray,0
SC-20575,Sonia Cooley,0
LS-17200,Luke Schmidt,1
RR-19315,Ralph Ritter,0
DB-12910,Daniel Byrd,2
TT-21220,Thomas Thornton,0
LO-17170,Lori Olson,1
KD-16615,Ken Dana,1
NB-18580,Nicole Brennan,1
BD-11635,Brian Derr,0
CM-12235,Chris McAfee,0
EN-13780,Edward Nazzal,0
KN-16450,Kean Nguyen,1
BO-11350,Bill Overfelt,1
AG-10300,Aleksandra Gannaway,1
MC-17635,Matthew Clasen,1
TA-21385,Tom Ashbrook,2
JF-15295,Jason Fortune-,0
TT-21265,Tim Taslimi,1
SB-20170,Sarah Bern,0
CL-12700,Craig Leslie,2
HG-15025,Hunter Glantz,0
NL-18310,Nancy Lomonaco,2
RR-19525,Rick Reed,1
TC-21295,Toby Carlisle,0
SV-20785,Stewart Visinsky,0
BE-11410,Bobby Elias,0
SC-20680,Steve Carroll,2
DF-13135,David Flashing,0
FH-14350,Fred Harton,0
MS-17530,MaryBeth Skach,0
RH-19555,Ritsa Hightower,0
GA-14515,George Ashbrook,0
JP-16135,Julie Prescott,2
Dp-13240,Dean percer,2
MO-17950,Michael Oakman,0
DL-13330,Denise Leinenbach,0
MH-18025,Michelle Huthwaite,0
DR-12940,Daniel Raglin,2
DM-13015,Darrin Martin,0
CA-11965,Carol Adams,1
AC-10660,Anna Chung,0
DM-13345,Denise Monton,1
VF-21715,Vicky Freymann,2
CC-12370,Christopher Conant,0
BF-11275,Beth Fritzler,1
HG-14845,Harry Greene,0
BP-11155,Becky Pak,0
EM-14140,Eugene Moren,2
MA-17995,Michelle Arnett,2
AY-10555,Andy Yotov,1
GB-14575,Giulietta Baptist,0
JB-16045,Julia Barnett,2
MG-17875,Michael Grace,2
SR-20425,Sharelle Roach,2
JB-16000,Joy Bell-,0
DM-12955,Dario Medina,1
TC-21475,Tony Chapman,2
SW-20350,Sean Wendt,2
RE-19450,Richard Eichhorn,0
BF-11215,Benjamin Farhat,2
KB-16405,Katrina Bavinger,2
JG-15310,Jason Gross,1
EC-14050,Erin Creighton,0
EB-14110,Eugene Barchas,0
JP-15460,Jennifer Patt,1
CS-11845,Cari Sayre,1
GH-14410,Gary Hansen,2
PT-19090,Pete Takahito,0
JL-15130,Jack Lebron,0
AH-10030,Aaron Hawkins,1
CC-12475,Cindy Chapman,0
DW-13195,David Wiener,1
SJ-20215,Sarah Jordon,0
BG-11740,Bruce Geld,0
LB-16795,Laurel Beltran,2
CM-11815,Candace McMahon,1
EH-14185,Evan Henry,0
TS-21505,Tony Sayre,0
PR-18880,Patrick Ryan,0
LC-17050,Liz Carlisle,0
CS-12490,Cindy Schnelling,1
DH-13075,Dave Hallsten,1
JO-15145,Jack O'Briant,1
AH-10690,Anna Häberlin,1
HJ-14875,Heather Jas,2
MH-17455,Mark Hamilton,0
RD-19930,Russell D'Ascenzo,0
SC-20020,Sam Craven,0
SU-20665,Stephanie Ulpright,2
FC-14335,Fred Chung,1
RB-19330,Randy Bradley,0
NC-18535,Nick Crebassa,1
DB-12970,Darren Budd,1
MF-17665,Maureen Fritzler,1
RM-19750,Roland Murray,0
VM-21835,Vivian Mathis,0
EJ-13720,Ed Jacobs,0
NC-18415,Nathan Cano,0
LS-17230,Lycoris Saunders,0
KE-16420,Katrina Edelman,1
DH-13675,Duane Huffman,2
PF-19120,Peter Fuller,0
VT-21700,Valerie Takahito,2
MG-17695,Maureen Gnade,0
SP-20920,Susan Pistek,0
CS-12175,Charles Sheldon,1
DK-12895,Dana Kaydos,0
KM-16660,Khloe Miller,0
AA-10645,Anna Andreadi,0
DD-13570,Dorothy Dickinson,0
AH-10465,Amy Hunt,0
TP-21565,Tracy Poddar,1
EK-13795,Eileen Kiefer,2
CR-12820,Cyra Reiten,2
SG-20890,Susan Gilcrest,1
AH-10585,Angele Hood,0
NF-18475,Neil Französisch,2
BS-11365,Bill Shonely,1
SH-20635,Stefanie Holloman,1
RD-19720,Roger Demir,0
AG-10330,Alex Grayson,0
GR-14560,Georgia Rosenberg,1
VS-21820,Vivek Sundaresam,0
TM-21490,Tony Molinari,0
TS-21430,Tom Stivers,1
DB-13360,Dennis Bolton,2
NR-18550,Nick Radford,0
CS-11860,Cari Schnelling,0
MF-18250,Monica Federle,1
LW-17125,Liz Willingham,0
AR-10345,Alex Russell,1
KS-16300,Karen Seio,1
AB-10015,Aaron Bergman,0
LR-17035,Lisa Ryan,1
SS-20410,Shahid Shariari,0
JM-15580,Jill Matthias,0
JK-15325,Jason Klamczynski,1
DM-13525,Don Miller,1
ML-18265,Muhammed Lee,0
MH-17290,Marc Harrigan,2
FC-14245,Frank Carlisle,2
TH-21115,Thea Hudgings,1
JK-16090,Juliana Krohn,0
SB-20185,Sarah Brown,0
BG-11035,Barry Gonzalez,0
BW-11065,Barry Weirich,0
MG-18205,Mitch Gastineau,1
DO-13645,Doug O'Connell,0
BP-11050,Barry Pond,1
TS-21655,Trudy Schmidt,0
EM-14200,Evan Minnotte,2
AO-10810,Anthony O'Donnell,1
MH-17440,Mark Haberlin,1
SS-20515,Shirley Schmidt,2
LD-16855,Lela Donovan,1
VP-21760,Victoria Pisteka,1
TC-21145,Theresa Coyne,1
IM-15055,Ionia McGrath,0
AR-10570,Anemone Ratner,0
CM-12715,Craig Molinari,1
FW-14395,Fred Wasserman,1
LC-16960,Lindsay Castell,2
HE-14800,Harold Engle,1
BD-11560,Brendan Dodson,2
HD-14785,Harold Dahlen,2
CJ-11875,Carl Jackson,1
RS-19870,Roy Skaria,2
SC-20845,Sung Chung,0
RE-19405,Ricardo Emerson,0
SM-20905,Susan MacKendrick,0
