Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Month_Name,Order_Quarter,Order_Day,Weekday,Is_Weekend,Sales_per_Quantity,Profit_Margin,Order_Week,Day_of_Week,Shipping_Days,Discount_Flag,Customer_Order_Count,Product_Order_Count
11,CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,Brosina Hoffman,0,United States,266,3,90032,3,FUR-TA-10001539,0,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2014,6,June,2,9,Monday,0,189.576,5.0,24,Monday,5,1,24,9
12,CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,Brosina Hoffman,0,United States,266,3,90032,3,TEC-PH-10002033,2,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,2014,6,June,2,9,Monday,0,227.856,7.500000000000001,24,Monday,5,1,24,4
13,CA-2017-114412,2017-04-15,2017-04-20,3,AA-10480,Andrew Allen,0,United States,96,31,28027,2,OFF-PA-10002365,1,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,4,April,2,15,Saturday,1,5.184,35.0,15,Saturday,5,1,12,5
14,CA-2016-161389,2016-12-05,2016-12-10,3,IM-15070,Irene Maddox,0,United States,452,45,98103,3,OFF-BI-10003656,1,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2016,12,December,4,5,Monday,0,135.992,32.49999999999999,49,Monday,5,1,21,9
15,US-2015-118983,2015-11-22,2015-11-26,3,HP-14815,Harold Pawlan,2,United States,154,41,76106,0,OFF-AP-10002311,1,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,2015,11,November,4,22,Sunday,1,13.762,-180.0,47,Sunday,4,1,10,10
16,US-2015-118983,2015-11-22,2015-11-26,3,HP-14815,Harold Pawlan,2,United States,154,41,76106,0,OFF-BI-10000756,1,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2015,11,November,4,22,Sunday,1,0.848,-150.0,47,Sunday,4,1,10,8
17,CA-2014-105893,2014-11-11,2014-11-18,3,PK-19075,Pete Kriz,0,United States,272,47,53711,0,OFF-ST-10004186,1,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2014,11,November,4,11,Tuesday,0,110.98,2.0,46,Tuesday,7,0,25,5
18,CA-2014-167164,2014-05-13,2014-05-15,2,AG-10270,Alejandro Grove,0,United States,513,42,84084,3,OFF-ST-10000107,1,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,5,May,2,13,Tuesday,0,27.75,18.0,20,Tuesday,2,0,14,4
19,CA-2014-143336,2014-08-27,2014-09-01,2,ZD-21925,Zuschuss Donatelli,0,United States,438,3,94109,3,OFF-AR-10003056,1,Art,Newell 341,8.56,2,0.0,2.4824,2014,8,August,3,27,Wednesday,0,4.28,29.0,35,Wednesday,5,0,9,7
20,CA-2014-143336,2014-08-27,2014-09-01,2,ZD-21925,Zuschuss Donatelli,0,United States,438,3,94109,3,TEC-PH-10001949,2,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2014,8,August,3,27,Wednesday,0,71.16,7.5,35,Wednesday,5,1,9,1
21,CA-2014-143336,2014-08-27,2014-09-01,2,ZD-21925,Zuschuss Donatelli,0,United States,438,3,94109,3,OFF-BI-10002215,1,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,2014,8,August,3,27,Wednesday,0,5.68,32.5,35,Wednesday,5,1,9,7
22,CA-2016-137330,2016-12-09,2016-12-13,3,KB-16585,Ken Black,1,United States,158,25,68025,0,OFF-AR-10000246,1,Art,Newell 318,19.46,7,0.0,5.0596,2016,12,December,4,9,Friday,0,2.78,26.0,49,Friday,4,0,23,5
23,CA-2016-137330,2016-12-09,2016-12-13,3,KB-16585,Ken Black,1,United States,158,25,68025,0,OFF-AP-10001492,1,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,2016,12,December,4,9,Friday,0,8.620000000000001,26.0,49,Friday,4,0,23,9
24,US-2017-156909,2017-07-16,2017-07-18,2,SF-20065,Sandra Flanagan,0,United States,374,36,19140,1,FUR-CH-10002774,0,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2017,7,July,3,16,Sunday,1,35.686,-1.4285714285714286,28,Sunday,2,1,9,7
25,CA-2015-106320,2015-09-25,2015-09-30,3,EB-13870,Emily Burns,0,United States,351,42,84057,3,FUR-TA-10000577,0,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,2015,9,September,3,25,Friday,0,348.21000000000004,23.0,39,Friday,5,0,11,8
26,CA-2016-121755,2016-01-16,2016-01-20,2,EH-13945,Eric Hoffmann,0,United States,266,3,90049,3,OFF-BI-10001634,1,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2016,1,January,1,16,Saturday,1,5.824,36.25000000000001,2,Saturday,4,1,17,6
27,CA-2016-121755,2016-01-16,2016-01-20,2,EH-13945,Eric Hoffmann,0,United States,266,3,90049,3,TEC-AC-10003027,2,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,2016,1,January,1,16,Saturday,1,30.19,13.0,2,Saturday,4,0,17,3
28,US-2015-150630,2015-09-17,2015-09-21,3,TB-21520,Tracy Blumstein,0,United States,374,36,19140,1,FUR-BO-10004834,0,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2015,9,September,3,17,Thursday,0,440.49,-54.0,38,Thursday,4,1,20,5
29,US-2015-150630,2015-09-17,2015-09-21,3,TB-21520,Tracy Blumstein,0,United States,374,36,19140,1,OFF-BI-10000474,1,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,2015,9,September,3,17,Thursday,0,4.809,-73.33333333333334,38,Thursday,4,1,20,7
30,US-2015-150630,2015-09-17,2015-09-21,3,TB-21520,Tracy Blumstein,0,United States,374,36,19140,1,FUR-FU-10004848,0,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,2015,9,September,3,17,Thursday,0,41.4,12.5,38,Thursday,4,1,20,9
31,US-2015-150630,2015-09-17,2015-09-21,3,TB-21520,Tracy Blumstein,0,United States,374,36,19140,1,OFF-EN-10001509,1,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2015,9,September,3,17,Thursday,0,1.632,33.75,38,Thursday,4,1,20,11
32,US-2015-150630,2015-09-17,2015-09-21,3,TB-21520,Tracy Blumstein,0,United States,374,36,19140,1,OFF-AR-10004042,1,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,2015,9,September,3,17,Thursday,0,14.384,11.249999999999998,38,Thursday,4,1,20,6
33,US-2015-150630,2015-09-17,2015-09-21,3,TB-21520,Tracy Blumstein,0,United States,374,36,19140,1,OFF-BI-10001525,1,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,2015,9,September,3,17,Thursday,0,1.143,-83.33333333333334,38,Thursday,4,1,20,8
34,US-2015-150630,2015-09-17,2015-09-21,3,TB-21520,Tracy Blumstein,0,United States,374,36,19140,1,OFF-AR-10001683,1,Art,Lumber Crayons,15.76,2,0.2,3.546,2015,9,September,3,17,Thursday,0,7.88,22.5,38,Thursday,4,1,20,6
35,CA-2017-107727,2017-10-19,2017-10-23,2,MA-17560,Matt Abelman,2,United States,207,41,77095,0,OFF-PA-10000249,1,Paper,Easy-staple paper,29.472,3,0.2,9.9468,2017,10,October,4,19,Thursday,0,9.824,33.75,42,Thursday,4,1,34,46
36,CA-2016-117590,2016-12-08,2016-12-10,0,GH-14485,Gene Hale,1,United States,406,41,75080,0,TEC-PH-10004977,2,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2016,12,December,4,8,Thursday,0,156.792,11.249999999999998,49,Thursday,2,1,3,9
37,CA-2016-117590,2016-12-08,2016-12-10,0,GH-14485,Gene Hale,1,United States,406,41,75080,0,FUR-FU-10003664,0,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2016,12,December,4,8,Thursday,0,38.184,-77.5,49,Thursday,2,1,3,5
38,CA-2015-117415,2015-12-27,2015-12-31,3,SN-20710,Steve Nguyen,2,United States,207,41,77041,0,OFF-EN-10002986,1,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2015,12,December,4,27,Sunday,1,12.592,31.25,52,Sunday,4,1,19,2
39,CA-2015-117415,2015-12-27,2015-12-31,3,SN-20710,Steve Nguyen,2,United States,207,41,77041,0,FUR-BO-10002545,0,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,2015,12,December,4,27,Sunday,1,177.4664,-8.823529411764707,52,Sunday,4,1,19,8
40,CA-2015-117415,2015-12-27,2015-12-31,3,SN-20710,Steve Nguyen,2,United States,207,41,77041,0,FUR-CH-10004218,0,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,2015,12,December,4,27,Sunday,1,70.68599999999999,-7.142857142857144,52,Sunday,4,1,19,9
41,CA-2015-117415,2015-12-27,2015-12-31,3,SN-20710,Steve Nguyen,2,United States,207,41,77041,0,TEC-PH-10000486,2,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,2015,12,December,4,27,Sunday,1,92.792,11.25,52,Sunday,4,1,19,3
42,CA-2017-120999,2017-09-10,2017-09-15,3,LC-16930,Linda Cazamias,1,United States,321,11,60540,0,TEC-PH-10004093,2,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2017,9,September,3,10,Sunday,1,36.792,11.249999999999998,36,Sunday,5,1,14,7
43,CA-2016-101343,2016-07-17,2016-07-22,3,RA-19885,Ruben Ausman,1,United States,266,3,90049,3,OFF-ST-10003479,1,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,2016,7,July,3,17,Sunday,1,38.94,5.0,28,Sunday,5,0,15,7
44,CA-2017-139619,2017-09-19,2017-09-23,3,ES-14080,Erin Smith,1,United States,288,8,32935,2,OFF-ST-10003282,1,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,2017,9,September,3,19,Tuesday,0,47.808,10.0,38,Tuesday,4,1,20,4
45,CA-2016-118255,2016-03-11,2016-03-13,0,ON-18715,Odella Nelson,1,United States,129,21,55122,0,TEC-AC-10000171,2,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2016,3,March,1,11,Friday,0,22.99,43.00000000000001,10,Friday,2,0,15,5
46,CA-2016-118255,2016-03-11,2016-03-13,0,ON-18715,Odella Nelson,1,United States,129,21,55122,0,OFF-BI-10003291,1,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2016,3,March,1,11,Friday,0,8.73,47.0,10,Friday,2,0,15,12
47,CA-2014-146703,2014-10-20,2014-10-25,2,PO-18865,Patrick O'Donnell,0,United States,516,20,48185,0,OFF-ST-10001713,1,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,2014,10,October,4,20,Monday,0,52.99,4.0,43,Monday,5,0,13,6
48,CA-2016-169194,2016-06-20,2016-06-25,3,LH-16900,Lena Hernandez,0,United States,124,6,19901,1,TEC-AC-10002167,2,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,2016,6,June,2,20,Monday,0,15.0,11.0,25,Monday,5,0,15,8
49,CA-2016-169194,2016-06-20,2016-06-25,3,LH-16900,Lena Hernandez,0,United States,124,6,19901,1,TEC-PH-10003988,2,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,2016,6,June,2,20,Monday,0,10.9,28.0,25,Monday,5,0,15,8
50,CA-2015-115742,2015-04-18,2015-04-22,3,DP-13000,Darren Powers,0,United States,324,12,47150,0,OFF-BI-10004410,1,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,2015,4,April,2,18,Saturday,1,6.37,47.0,16,Saturday,4,0,17,4
51,CA-2015-115742,2015-04-18,2015-04-22,3,DP-13000,Darren Powers,0,United States,324,12,47150,0,OFF-LA-10002762,1,Labels,Avery 485,75.18,6,0.0,35.3346,2015,4,April,2,18,Saturday,1,12.53,47.0,16,Saturday,4,0,17,8
52,CA-2015-115742,2015-04-18,2015-04-22,3,DP-13000,Darren Powers,0,United States,324,12,47150,0,FUR-FU-10001706,0,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,2015,4,April,2,18,Saturday,1,3.08,48.0,16,Saturday,4,0,17,10
53,CA-2015-115742,2015-04-18,2015-04-22,3,DP-13000,Darren Powers,0,United States,324,12,47150,0,FUR-CH-10003061,0,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,2015,4,April,2,18,Saturday,1,89.99,19.0,16,Saturday,4,0,17,8
54,CA-2016-105816,2016-12-11,2016-12-17,3,JM-15265,Janet Molinari,1,United States,329,30,10024,1,OFF-FA-10000304,1,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,2016,12,December,4,11,Sunday,1,2.18,41.0,49,Sunday,6,0,13,7
55,CA-2016-105816,2016-12-11,2016-12-17,3,JM-15265,Janet Molinari,1,United States,329,30,10024,1,TEC-PH-10002447,2,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,2016,12,December,4,11,Sunday,1,205.99,29.0,49,Sunday,6,0,13,4
56,CA-2016-111682,2016-06-17,2016-06-18,0,TB-21055,Ted Butterfield,0,United States,488,30,12180,1,OFF-ST-10000604,1,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,2016,6,June,2,17,Friday,0,34.76,25.0,24,Friday,1,0,18,7
57,CA-2016-111682,2016-06-17,2016-06-18,0,TB-21055,Ted Butterfield,0,United States,488,30,12180,1,OFF-PA-10001569,1,Paper,Xerox 232,32.4,5,0.0,15.552,2016,6,June,2,17,Friday,0,6.48,48.0,24,Friday,1,0,18,4
58,CA-2016-111682,2016-06-17,2016-06-18,0,TB-21055,Ted Butterfield,0,United States,488,30,12180,1,FUR-CH-10003968,0,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2016,6,June,2,17,Friday,0,63.882000000000005,2.222222222222222,24,Friday,1,1,18,6
59,CA-2016-111682,2016-06-17,2016-06-18,0,TB-21055,Ted Butterfield,0,United States,488,30,12180,1,OFF-PA-10000587,1,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,2016,6,June,2,17,Friday,0,7.28,48.0,24,Friday,1,0,18,4
60,CA-2016-111682,2016-06-17,2016-06-18,0,TB-21055,Ted Butterfield,0,United States,488,30,12180,1,TEC-AC-10002167,2,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,2016,6,June,2,17,Friday,0,15.0,11.0,24,Friday,1,0,18,8
61,CA-2016-111682,2016-06-17,2016-06-18,0,TB-21055,Ted Butterfield,0,United States,488,30,12180,1,OFF-BI-10001460,1,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,2016,6,June,2,17,Friday,0,12.12,33.75,24,Friday,1,1,18,5
62,CA-2016-111682,2016-06-17,2016-06-18,0,TB-21055,Ted Butterfield,0,United States,488,30,12180,1,OFF-AR-10001868,1,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,2016,6,June,2,17,Friday,0,1.68,50.0,24,Friday,1,0,18,8
63,CA-2015-135545,2015-11-24,2015-11-30,3,KM-16720,Kunst Miller,0,United States,266,3,90004,3,TEC-AC-10004633,2,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,2015,11,November,4,24,Tuesday,0,6.99,44.0,48,Tuesday,6,0,28,6
64,CA-2015-135545,2015-11-24,2015-11-30,3,KM-16720,Kunst Miller,0,United States,266,3,90004,3,OFF-BI-10001078,1,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,2015,11,November,4,24,Tuesday,0,4.304,36.25,48,Tuesday,6,1,28,7
65,CA-2015-135545,2015-11-24,2015-11-30,3,KM-16720,Kunst Miller,0,United States,266,3,90004,3,OFF-PA-10003892,1,Paper,Xerox 1943,146.73,3,0.0,68.9631,2015,11,November,4,24,Tuesday,0,48.91,47.0,48,Tuesday,6,0,28,4
66,CA-2015-135545,2015-11-24,2015-11-30,3,KM-16720,Kunst Miller,0,United States,266,3,90004,3,FUR-FU-10000397,0,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,2015,11,November,4,24,Tuesday,0,19.94,28.0,48,Tuesday,6,0,28,5
67,US-2015-164175,2015-04-30,2015-05-05,3,PS-18970,Paul Stevenson,2,United States,80,11,60610,0,FUR-CH-10001146,0,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,2015,4,April,2,30,Thursday,0,42.623000000000005,-7.142857142857142,18,Thursday,5,1,13,10
68,CA-2014-106376,2014-12-05,2014-12-10,3,BS-11590,Brendan Sweed,1,United States,166,1,85234,3,OFF-AR-10002671,1,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,2014,12,December,4,5,Friday,0,139.128,10.000000000000002,49,Friday,5,1,10,1
69,CA-2014-106376,2014-12-05,2014-12-10,3,BS-11590,Brendan Sweed,1,United States,166,1,85234,3,TEC-PH-10002726,2,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,2014,12,December,4,5,Friday,0,41.992,37.5,49,Friday,5,1,10,7
70,CA-2016-119823,2016-06-04,2016-06-06,0,KD-16270,Karen Daniels,0,United States,464,44,22153,2,OFF-PA-10000482,1,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2016,6,June,2,4,Saturday,1,37.94,47.00000000000001,22,Saturday,2,0,16,6
71,CA-2016-106075,2016-09-18,2016-09-23,3,HM-14980,Henry MacAllister,0,United States,329,30,10009,1,OFF-BI-10004654,1,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2016,9,September,3,18,Sunday,1,4.616,37.50000000000001,37,Sunday,5,1,7,8
72,CA-2017-114440,2017-09-14,2017-09-17,2,TB-21520,Tracy Blumstein,0,United States,215,20,49201,0,OFF-PA-10004675,1,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,2017,9,September,3,14,Thursday,0,6.3500000000000005,46.0,37,Thursday,3,0,20,6
73,US-2015-134026,2015-04-26,2015-05-02,3,JE-15745,Joel Eaton,0,United States,289,40,38109,2,FUR-CH-10000513,0,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,2015,4,April,2,26,Sunday,1,103.992,-13.749999999999998,17,Sunday,6,1,23,9
74,US-2015-134026,2015-04-26,2015-05-02,3,JE-15745,Joel Eaton,0,United States,289,40,38109,2,FUR-FU-10003708,0,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,2015,4,April,2,26,Sunday,1,48.52,1.25,17,Sunday,6,1,23,6
75,US-2015-134026,2015-04-26,2015-05-02,3,JE-15745,Joel Eaton,0,United States,289,40,38109,2,OFF-ST-10004123,1,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,2015,4,April,2,26,Sunday,1,72.784,-25.0,17,Sunday,6,1,23,8
76,US-2017-118038,2017-12-09,2017-12-11,0,KB-16600,Ken Brennan,1,United States,207,41,77041,0,OFF-BI-10004182,1,Binders,Economy Binders,1.248,3,0.8,-1.9344,2017,12,December,4,9,Saturday,1,0.416,-154.99999999999997,49,Saturday,2,1,9,4
77,US-2017-118038,2017-12-09,2017-12-11,0,KB-16600,Ken Brennan,1,United States,207,41,77041,0,FUR-FU-10000260,0,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,2017,12,December,4,9,Saturday,1,3.236,-60.0,49,Saturday,2,1,9,4
78,US-2017-118038,2017-12-09,2017-12-11,0,KB-16600,Ken Brennan,1,United States,207,41,77041,0,OFF-ST-10000615,1,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,2017,12,December,4,9,Saturday,1,9.08,10.000000000000002,49,Saturday,2,1,9,8
79,US-2014-147606,2014-11-26,2014-12-01,2,JE-15745,Joel Eaton,0,United States,207,41,77070,0,FUR-FU-10003194,0,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,2014,11,November,4,26,Wednesday,0,3.86,-75.0,48,Wednesday,5,1,23,4
80,CA-2016-127208,2016-06-12,2016-06-15,0,SC-20770,Stewart Carmichael,1,United States,116,0,35601,2,OFF-AP-10002118,1,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,2016,6,June,2,12,Sunday,1,208.16,27.0,23,Sunday,3,0,21,6
81,CA-2016-127208,2016-06-12,2016-06-15,0,SC-20770,Stewart Carmichael,1,United States,116,0,35601,2,OFF-BI-10002309,1,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,2016,6,June,2,12,Sunday,1,5.579999999999999,48.00000000000001,23,Sunday,3,0,21,6
82,CA-2014-139451,2014-10-12,2014-10-16,3,DN-13690,Duane Noonan,0,United States,438,3,94122,3,OFF-AR-10002053,1,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,2014,10,October,4,12,Sunday,1,2.98,28.0,41,Sunday,4,0,11,7
83,CA-2014-139451,2014-10-12,2014-10-16,3,DN-13690,Duane Noonan,0,United States,438,3,94122,3,OFF-ST-10002370,1,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,2014,10,October,4,12,Sunday,1,21.39,29.0,41,Sunday,4,0,11,6
84,CA-2015-149734,2015-09-03,2015-09-08,3,JC-16105,Julie Creighton,1,United States,128,31,27707,2,OFF-EN-10000927,1,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,2015,9,September,3,3,Thursday,0,28.712,31.25,36,Thursday,5,1,9,4
85,US-2017-119662,2017-11-13,2017-11-16,0,CS-12400,Christopher Schild,2,United States,80,11,60623,0,OFF-ST-10003656,1,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,2017,11,November,4,13,Monday,0,76.792,-21.25,46,Monday,3,1,14,5
86,CA-2017-140088,2017-05-28,2017-05-30,2,PO-18865,Patrick O'Donnell,0,United States,93,38,29203,2,FUR-CH-10000863,0,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2017,5,May,2,28,Sunday,1,150.98,11.000000000000002,21,Sunday,2,0,13,8
87,CA-2017-155558,2017-10-26,2017-11-02,3,PG-18895,Paul Gonzalez,0,United States,410,21,55901,0,TEC-AC-10001998,2,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,2017,10,October,4,26,Thursday,0,19.99,34.0,43,Thursday,7,0,17,6
